Categoría,Producto,Cantidad,Precio
Muebles,Sofa,20,600000
Muebles,Escritorio,45,450000
Muebles,Silla de escritorio,45,80000
Muebles,Mesa de comedor,30,350000
Muebles,Silla de comedor,120,50000
Muebles,Escaparate decorativo grande,22,550000
Muebles,Escaparate decorativo peque�o,45,240000
Tecnologia,Celular gama alta,30,4500000
Tecnologia,Celular gama media,90,1500000
Tecnologia,Celular gama baja,45,900000
Tecnologia,Laptop Workstation,20,12000000
Tecnologia,Laptop Gamer,30,8000000
Tecnologia,Pc all-in-one,70,5000000
Tecnologia,Pc de escritorio,20,15000000
